text,label
"but when i check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then i'm lost.",negative
i was very excited to get this headset because i thought it was really cute.,positive
i'm trying to return it for a refund.,negative
its not user friendly.,negative
sauce was tasteless.,negative
terrible service!,negative
it sure does beat the nachos at the movies but i would expect a little bit more coming from a restaurant.,negative
poor quality.,negative
don't buy it.,negative
great phone!.,positive
"how this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's all wrong.",negative
it's very slow.,negative
"come hungry, leave happy and stuffed!",positive
"the food sucked, which we expected but it sucked more than we could have imagined.",negative
i don't have to be an accountant to know i'm getting screwed!,negative
everything about this movie is stupid.,negative
my 5-year old nokia 2160 from tracfone holds the charge a lot better than this.,negative
the basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.,negative
"it was so bad, i had lost the heart to finish it.",negative
it's also great to see that renowned silent screenwriter frances marion hasn't missed a step going from silent to sound.,positive
the place was fairly clean but the food simply wasn't worth it.,negative
those phones are working just fine now.,positive
im surprised this is a good quality car charger and there's not much reviews about it.,positive
the service here leaves a lot to be desired.,negative
this place has a lot of promise but fails to deliver.,negative
some highlights : great quality nigiri here!,positive
this is one of the best italian thrillers of the early 70's.,positive
[...] down the drain because of a weak snap!,negative
"very true to shakespear, and a 'must' for all shakespear fans.",positive
paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the wienerschnitzel is not my idea of a good meal.,negative
after all the rave reviews i couldn't wait to eat here......what a disappointment!,negative
but the premise of the film was so ridiculous: that the president of the u.s.,negative
everything worked on the first try.the device was certainly engineered in a clever way and the construction feels good.,positive
this allows the possibility of double booking for the same date and time after the first.,negative
"the camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",negative
i can say that the desserts were yummy.,positive
what a waste.,negative
this is definitely a cult classic well worth viewing and sharing with others.,positive
very good lunch spot.,positive
by far the best cheesecurds we have ever had!,positive
the commercials are the most misleading.,negative
it looses connection to the phone even when it is within a couple feet between the two.,negative
the script looks as if only a rough draft was written and shooting began before a finished script was completed.,negative
"this movie is so mind-bendingly awful, it couldn't have even been created.",negative
favorite place in town for shawarrrrrrma!!!!!!,positive
so don't go there if you are looking for good food...,negative
this is the phone to get for 2005.... i just bought my s710a and all i can say is wow!,positive
"the descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well none of the rolls had sauces on them.",negative
fans of the genre will be in heaven.,positive
"maybe it's just their vegetarian fare, but i've been twice and i thought it was average at best.",negative
if the two were seperated by a mere 5+ ft i started to notice excessive static and garbled sound from the headset.,negative
i can take a little bad service but the food sucks.,negative
this was such an awesome movie that i bought it off of ebay.,positive
i guess i liked the details of his dysfunction--he was believable.,positive
our server was very nice and attentive as were the other serving staff.,positive
my headset works just peachy-keen.,positive
the warmth it generates is in contrast to its austere backdrop.,positive
its extremely slow and takes forever to do anything with it.,negative
this is not movie-making.,negative
i waited and waited.,negative
"there was so much hype over this phone that i assumed it was the best, my mistake.",negative
food was really boring.,negative
not as good as i had hoped.,negative
"similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",negative
great pocket pc / phone combination.,positive
the worst experience ever.,negative
great pork sandwich.,positive
this was like the final blow!,negative
i'll take my business dinner dollars elsewhere.,negative
wont work right or atleast for me.,negative
a fly was in my apple juice.. a fly!!!!!!!!,negative
"the design is very odd, as the ear ""clip"" is not very comfortable at all.",negative
this is a great place to eat!,positive
it looks very nice.,positive
"be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",positive
the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,negative
"great subway, in fact it's so good when you come here every other subway will not meet your expectations.",positive
i vomited in the bathroom mid lunch.,negative
"that being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",positive
a fantastic neighborhood gem !!!,positive
plantronics bluetooth excelent buy.,positive
the nokia ca-42 usb cable did not work with my phone.,negative
thanks again to amazon for having the things i need for a good price!,positive
and i just love the colors!,positive
the movie is full of wonderful dancing (hence the title!,positive
the bus boy on the other hand was so rude.,negative
"), and sometimes it was so embarrassing that i had to look away.",negative
"i have only had it for a few weeks, but so far, so good.",positive
"the pizza tasted old, super chewy in not a good way.",negative
poor quality and service.,negative
food was delicious!,positive
good service-check!,positive
due to this happening on every call i was forced to stop using this headset.,negative
worthless product.,negative
"i ate there twice on my last visit, and especially enjoyed the salmon salad.",positive
you can't beat the price on these.,positive
"pros:-good camera - very nice pictures , also has cool styles like black and white, and more.",positive
the refried beans that came with my meal were dried out and crusty and the food was bland.,negative
works great.,positive
the things that the four kids get themselves into is absolutely hilarious to watch.,positive
poor construction.,negative
i'd advise anyone to go and see it.,positive
she was quite disappointed although some blame needs to be placed at her door.,negative
i'm probably one of the few people to ever go to ians and not like it.,negative
(it works!),positive
"i really wanted the plantronics 510 to be the right one, but it has too many issues for me.the good",negative
rip off---- over charge shipping.,negative
the worst piece of crap ever along with the verizon customer service.,negative
"too bad cause i know it's family owned, i really wanted to like this place.",negative
it doesn't make you look cool.,negative
the seafood was fresh and generous in portion.,positive
i believe that this place is a great stop for those with a huge belly and hankering for sushi.,positive
"both films are terrible, but to the credit of the 1986 version, it was watchable.",negative
"if you do watch it, however, there are small consolations: the actresses playing anne's sisters each do a wonderful job with their roles.",positive
will never ever go back and have told many people what had happened.,negative
(very serious spoilers) this movie was a huge disappointment.,negative
"initially the local sites in the film, which was filmed here in buffalo, intrigued me.",positive
this place deserves one star and 90% has to do with the food.,negative
"stay away from this store, be careful.",negative
this movie has a cutting edge to it.,positive
weird vibe from owners.,negative
"very cheap plastic, creaks like an old wooden floor.",negative
"i also didn't like the ""on"" button, it felt like it would crack with use.",negative
not a good item.. it worked for a while then started having problems in my auto reverse tape player.,negative
the management is rude.,negative
everything was good and tasty!,positive
this product is great... it makes working a lot easier i can go to the copier while waiting on hold for something.,positive
enough can not be said of the remarkable animation in this film.,positive
don't bother - go to the store.,negative
the spaghetti is nothing special whatsoever.,negative
i immediately said i wanted to talk to the manager but i did not want to talk to the guy who was doing shots of fireball behind the bar.,negative
disappointing experience.,negative
"lordy, the khao soi is a dish that is not to be missed for curry lovers!",positive
an hour and a half i wish i could bring back.,negative
highly recommended a+,positive
this was one of the worst films i have ever seen.,negative
this show is made for americans - it is too stupid and full with hatred and clichã©s to be admitted elsewhere.,negative
"it handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!",positive
we aren't ones to make a scene at restaurants but i just don't get it...definitely lost the love after this one!,negative
so they performed.,positive
"the movie was so boring, that i sometimes found myself occupied peaking in the paper instead of watching (never happened during a columbo movie before!",negative
this is one of the best movies out there that shows such strong sibling bond for each other.,positive
"if you have not seen this movie, i definitely recommend it!",positive
"thus far, have only visited twice and the food was absolutely delicious each time.",positive
it is shameful.,negative
"the handsfree part works fine, but then the car tries to download the address book, and the treo reboots.overall, i still rate this device high.",positive
their regular toasted bread was equally satisfying with the occasional pats of butter... mmmm...!,positive
battery is holding up well.,positive
it is indescribably the most annoying and idiotic show i have ever seen.,negative
"it's practically perfect in all of them â– a true masterpiece in a sea of faux ""masterpieces.",positive
the ambience is wonderful and there is music playing.,positive
reasonably priced also!,positive
buttons are too small.,negative
"perhaps i caught them on an off night judging by the other reviews, but i'm not inspired to go back.",negative
definitely a bargain.,positive
i received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,negative
my fella got the huevos rancheros and they didn't look too appealing.,negative
my husband said she was very rude... did not even apologize for the bad food or anything.,negative
"all in all, ha long bay was a bit of a flop.",negative
it has kept up very well.,positive
"same evening, him and i are both drastically sick.",negative
excellent performance.,positive
"my breakfast was perpared great, with a beautiful presentation of 3 giant slices of toast, lightly dusted with powdered sugar.",positive
the food was very good.,positive
"i really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.",positive
this mostly routine fact-based tv drama gets a boost from the fine performance by cole.,positive
bad reception.,negative
battery life is real good.,positive
"just consider the excellent story, solid acting and look of the film as added bonuses.",positive
even worse than ticker!,negative
"i think it was robert ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.",positive
"i had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",positive
the lighting is just dark enough to set the mood.,positive
"for the price on amazon, it is an excellent product, which i would highly recommend.",positive
comfortable in my hand.,positive
"i kept looking at the time and it had soon become 35 minutes, yet still no food.",negative
i wear glasses and it fits fine with them.,positive
"all i can do is whine on the internet, so here it goes.the more i use the thing the less i like it.",negative
first - the bathrooms at this location were dirty- seat covers were not replenished & just plain yucky!!!,negative
the shrimp tender and moist.,positive
the text messaging feature is really tricky to use.,negative
i checked out this place a couple years ago and was not impressed.,negative
"otherwise, easy to install and use, clear sound.",positive
"no allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",negative
later i found myself lost in the power of the film.,positive
but this understated film leaves a lasting impression.,positive
very very disappointed ordered the $35 big bay plater.,negative
please stay away from the shrimp stir fried noodles.,negative
"lovely little thriller from hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.",positive
definitely worth checking out.,positive
"i just cant explain this movie more than romantic,charming,hilarious,and adorable.the junkyard scenes are funny,all the junkyard dogs have something special.too funny i laughed,kids will love it.buy it when it comes out,it has new features!",positive
"sucked, most of the stuff does not work with my phone.",negative
this movie is well-balanced with comedy and drama and i thoroughly enjoyed myself.,positive
i would not recommend this place.,negative
i tried talking real loud but shouting on the telephone gets old and i was still told it wasn't great.,negative
"people who like european films and ""art movies"" will like this movie.",positive
not too screamy not to masculine but just right.,positive
still it's quite interesting and entertaining to follow.,positive
"the shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",negative
"characters are one-dimensional, even the good guys and especially the bad guys.",negative
"overall, a great experience.",positive
"at a time when it seems that film animation has been dominated by disney/pixar's cgi masterpieces, it is both refreshing and comforting to know that miyazaki is still relying on traditional hand-drawn animation to tell his charming and enchanting stories.",positive
"if that bug never showed up i would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",negative
"for sushi on the strip, this is the place to go.",positive
"it was a bit too sweet, not really spicy enough, and lacked flavor.",negative
"mark my words, this is one of those cult films like evil dead 2 or phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.",positive
i cannot make calls at certain places.,negative
the only downside is the service.,negative
love this product.,positive
"the internet access was fine, it the rare instance that it worked.",negative
my boyfriend tried the mediterranean chicken salad and fell in love.,positive
so far so good!.,positive
!i definitly recommend!!,positive
"the plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.",negative
we had 7 at our table and the service was pretty fast.,positive
"predictable, but not a bad watch.",positive
there is no plot or storyline!!,negative
"i have 2-3 bars on my cell phone when i am home, but you cant not hear anything.",negative
i believe every one should see this movie as i think few people outside of south africa understand its past and what is being attempted in the truth and reconciliation process.,positive
"the ""explosion"" of the gas tanks at the end was just as awful.",negative
"if you want healthy authentic or ethic food, try this place.",positive
the majority of the logitech earbud headsets failed.,negative
"lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.",positive
by this time our side of the restaurant was almost empty so there was no excuse.,negative
not impressed.,negative
i was disgusted because i was pretty sure that was human hair.,negative
"i do not know if this was emilio estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character estevez plays all suggest a natural eye.",positive
if you are reading this please don't go there.,negative
everything was gross.,negative
i would advise to not purchase this item it never worked very well.,negative
"i have used several phone in two years, but this one is the best.",positive
i find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,negative
well... just if you keep thinking how bad it is.,negative
it was probably dirt.,negative
great value.,positive
"i'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.",positive
i found this product to be waaay too big.,negative
the ri style calamari was a joke.,negative
"host staff were, for lack of a better word, bitches!",negative
con: spotty service.,negative
"even in my bmw 3 series which is fairly quiet, i have trouble hearing what the other person is saying.",negative
i hate those things as much as cheap quality black olives.,negative
lange had become a great actress.,positive
very good quality though,positive
great earpiece.,positive
pretty awesome place.,positive
"the fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???",negative
worked perfectly!,positive
the veggitarian platter is out of this world!,positive
"good item, low price.",positive
there is no real plot.,negative
"the ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",negative
"every thing on phone work perfectly, she like it.",positive
"i know that jim o'connor was very energetic and that nobody could be as much as him, but george was well dull.",negative
the story line is totally predictable.,negative
i wouldnt see this movie again for free.,negative
"very convenient, since we were staying at the mgm!",positive
after receiving and using the product for just 2 days it broke.,negative
very disappointing.,negative
"good product, good seller.",positive
don't do it!!!!,negative
maybe if they weren't cold they would have been somewhat edible.,negative
nice headset priced right.,positive
they do not care about the consumer one bit.,negative
"another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",negative
"i love the owner/chef, his one authentic japanese cool dude!",positive
fantastic buy and will get again for whatever my next phone is,positive
items stated as included from the description are not included.,negative
"plus, with the movie's rather modest budget and fast running time, it does an amazing job!",positive
the goat taco didn't skimp on the meat and wow what flavor!,positive
"i started this review with two stars, but i'm editing it to give it only one.",negative
the roast beef sandwich tasted really good!,positive
dont buy it.,negative
disappointing.,negative
"point your finger at any item on the menu, order it and you won't be disappointed.",positive
"beware: this is not a trashy cult movie, this is trash -period!",negative
and if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.,negative
i left with a stomach ache and felt sick the rest of the day.,negative
"still, i do like this movie for it's empowerment of women; there's not enough movies out there like this one.",positive
definitely worth checking out.,positive
" i love it.
positive	the ending is so, so perfect... you'll shed a tear.
positive	i am so thrilled after seeing a movie like this.
positive	i will never forget it now.
positive	it is not just a cult... it is a cult classic.
negative	which has more depth and character than the man underneath it.
negative	the malta settings are as dry and as barren as the dialogue.
negative	this movie is terrible.
negative	the hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.
negative	for those that haven't seen it, don't waste your time!
negative	to call this movie a drama is ridiculous!
negative	started watching this but didn't believe in any of the characters.
negative	in particular the relationship between the bakery assistant and the waitress just didn't work for me at all.
negative	it was a very superficial movie and it gave me the feeling that i was watching play rather than a film.
negative	the characters were very 'stagey' and the storyline was a lot like a stage farce.
negative	by the time the pyromaniac waylaid the assistant i was bored and didn't care what happened next and so i switched off.
negative	glad i didn't pay to see it.
negative	didn't laugh or even smile once.
negative	but it wasn't anything at all just one big yawn...
positive	it is a really good show to watch.
positive	it is very educational for children 1 to 8 years old.
positive	barney is definitely super de duper.
positive	is pretty funny.
positive	babie bop is very cute.
positive	the kids are very cool too.
negative	 but ""storm trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.",positive
"the decor is nice, and the piano music soundtrack is pleasant.",positive
"no shifting, no bubbling, no peeling, not even a scratch, nothing!i couldn't be more happier with my new one for the droid.",positive
went for lunch - service was slow.,negative
"here, in the wind and the lion, we see a wonderful rendering of america's own imperial age.",positive
after the disappointing dinner we went elsewhere for dessert.,negative
great charger.,positive
the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,positive
"on the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",negative
"i had heard good things about this place, but it exceeding every hope i could have dreamed of.",positive
after a year the battery went completely dead on my headset.,negative
unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,negative
"hot dishes are not hot, cold dishes are close to room temp.i watched staff prepare food with bare hands, no gloves.everything is deep fried in oil.",negative
"(it wasn't busy either) also, the building was freezing cold.",negative
so absolutley fantastic.,positive
both of the egg rolls were fantastic.,positive
these are fabulous!,positive
"much more interesting, more action, more suspense, and less of the unneeded controversy.",positive
great product for the price!.,positive
"i do love sushi, but i found kabuki to be over-priced, over-hip and under-services.",negative
food quality has been horrible.,negative
excellent short film.,positive
"but it is entertaining, nonetheless.",positive
"what possesed me to get this junk, i have no idea...",negative
so anyone near you will hear part of your conversation.,negative
four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,positive
then i had to continue pairing it periodically since it somehow kept dropping.,negative
i had to purchase a different case.,negative
"this place is a jewel in las vegas, and exactly what i've been hoping to find in nearly ten years living here.",positive
"it's an empty, hollow shell of a movie.",negative
there is a brilliant twist ending.,positive
works fine.,positive
great product.,positive
cool phone.,positive
w810i is just superb.,positive
the folks at otto always make us feel so welcome and special.,positive
the original body and soul (1947) is a masterpiece.,positive
stay away from the q!.,negative
it was so boring!,negative
but it wasn't until i watched this film that i realised how great he actually was.,positive
hell no will i go back,negative
"also, it's a real treat to see anthony quinn playing crazy horse.",positive
"probably never coming back, and wouldn't recommend it.",negative
"i know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.well, this one works great.",positive
"overall, i was very disappointed with the quality of food at bouchon.",negative
the reception through this headset is excellent.,positive
awful.,negative
"excellent product, i am very satisfied with the purchase.",positive
"to those who find this movie intelligent or even masterful, i can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .",negative
very much disappointed with this company.,negative
"the color is even prettier than i thought it would be, and the graphics are incredibly sharp.",positive
clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,positive
"it was attached to a gas station, and that is rarely a good sign.",negative
poor sound quality.,negative
i have yet to run this new battery below two bars and that's three days without charging.,positive
"the chips that came out were dripping with grease, and mostly not edible.",negative
camera color balance is awful.,negative
i found a six inch long piece of wire in my salsa.,negative
tied to charger for conversations lasting more than 45 minutes.major problems!!,negative
"after charging overnight, these batteries work great.",positive
"oh this is such a thing of beauty, this restaurant.",positive
"perhaps my phone is defective, but people cannot hear me when i use this.",negative
it's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,negative
this is one of the better buffets that i have been to.,positive
"while you don't yet hear mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.",positive
the potato chip order was sad... i could probably count how many chips were in that box and it was probably around 12.,negative
mobile phone tools are a must have.,positive
penne vodka excellent!,positive
it rocked my world and is certainly a must see for anyone with no social or physical outlets.,positive
"how can you call yourself a steakhouse if you can't properly cook a steak, i don't understand!",negative
i was so insulted.,negative
for the price this was a great deal.,positive
this is actually a very smart movie.,positive
the cg opening sequence in space looked like it could have been created on microsoft slideshow for god's sake!,negative
they made this case too small and is very difficult to install.,negative
those burgers were amazing.,positive
i could care less... the interior is just beautiful.,positive
"no additional ear gels provided, and no instructions whatsoever.",negative
the potatoes were great and so was the biscuit.,positive
protects the phone on all sides.,positive
"if you love authentic mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",positive
its the best headset i have used.,positive
i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer.,negative
"i find wasting food to be despicable, but this just wasn't food.",negative
simply beautiful.,positive
you can watch them preparing the delicious food!),positive
it was clear that she had the range and ability to pull off this part.,positive
honeslty it didn't taste that fresh.),negative
"it never condescends, all the characters have good genuine hearts and believable problems.",positive
nice blanket of moz over top but i feel like this was done to cover up the subpar food.,positive
nevertheless yet another wonderful film from the great master's stable.,positive
"so mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies i've seen.",negative
if you want a sandwich just go to any firehouse!!!!!,positive
your staff spends more time talking to themselves than me.,negative
i will not return.,negative
last night was my second time dining here and i was so happy i decided to go back!,positive
there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company.,negative
"emily watson's character is very strong, and she has only to give a quick glance and you understand everything.",positive
"of all the dishes, the salmon was the best, but all were great.",positive
"great steak, great sides, great wine, amazing desserts.",positive
i loved it!,positive
its a total package.,positive
great phone.,positive
"this was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.",negative
del taco is pretty nasty and should be avoided if possible.,negative
the han nan chicken was also very tasty.,positive
love this phone.,positive
cant get the software to work with my computer.,negative
i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,negative
very disappointing.,negative
it came free with a dvd player i bought but i still turned the thing off halfway through because i was embarrassed for howell.,negative
i gave it 5 stars because of the sound quality.,positive
i saw this movie and i thought this is a stupid movie.,negative
this place is two thumbs up....way up.,positive
"this place is overpriced, not consistent with their boba, and it really is overpriced!",negative
truly awful.,negative
we waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,negative
i ordered albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,negative
best headset ever!!!.,positive
waste of money.,negative
"i've had better, not only from dedicated boba tea spots, but even from jenni pho.",negative
today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible.,positive
i have had problems wit hit dropping signal and more.,negative
"but despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official oem product.",positive
the eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,positive
"it isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.",negative
"as an earlier review noted, plug in this charger and nothing happens.",negative
also the area where my unit broke).- i'm not too fond of the magnetic strap.,negative
fast service.,positive
"great it was new packaged nice works good, no problems and it came in less time then i expected!!!!",positive
"the food was great as always, compliments to the chef.",positive
no plot whatsoever!,negative
i paid the bill but did not tip because i felt the server did a terrible job.,negative
very very fun chef.,positive
it even has its sweet moments.,positive
and the chef was generous with his time (even came around twice so we can take pictures with him).,positive
one of the worst shows of all time.,negative
and those baby owls were adorable.,positive
i does not maintain a connection with the computer while it is on my lap.,negative
big disappointment with calendar sync.,negative
the holster that arrived did not match the photo in the ad.,negative
i as well would've given godfathers zero stars if possible.,negative
"a mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that keira knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).",positive
works as described.,positive
"in a word, it is embarrassing.",negative
will order from them again!,positive
pretty good beer selection too.,positive
what on earth is irons doing in this film?,negative
"i searched the internet, and found this one to be the best value.",positive
service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria.,positive
"worse of all, he humiliated his worker right in front of me..bunch of horrible name callings.",negative
" the structure of this film is easily the most tightly constructed in the history of cinema.
positive	i can think of no other film where something vitally important occurs every other minute.
positive	in other words, the content level of this film is enough to easily fill a dozen other films.
positive	how can anyone in their right mind ask for anything more from a movie than this?
positive	it's quite simply the highest, most superlative form of cinema imaginable.
positive	yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.
negative	this short film certainly pulls no punches.
negative	graphics is far from the best part of the game.
positive	this is the number one best th game in the series.
positive	it deserves strong love.
positive	it is an insane game.
positive	there are massive levels, massive unlockable characters... it's just a massive game.
positive	waste your money on this game.
positive	this is the kind of money that is wasted properly.
positive	actually, the graphics were good at the time.
negative	today the graphics are crap.
positive	as they say in canada, this is the fun game, aye.
positive	this game rocks.
positive	buy it, play it, enjoy it, love it.
positive	it's pure brilliance.
negative	this was a flick doomed from its conception.
negative	the very idea of it was lame - take a minor character from a mediocre pg-13 film, and make a complete non-sequel while changing its tone to a pg-rated family movie.
negative	i wasn't the least bit interested.
negative	not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the entire movie; and i'm not exaggerating - every moment, every plot point, every joke is told in the trailer.
negative	but it's just not funny.
negative	but even the talented carrell can't save this.
negative	his co-stars don't fare much better, with people like morgan freeman, jonah hill, and ed helms just wasted.
negative	the story itself is just predictable and lazy.
negative	the only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work i've ever seen.
negative	but whatever it was that cost them so much, it didn't translate to quality, that's for sure.
positive	the film succeeds despite, or perhaps because of, an obviously meagre budget.
positive	i'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.
positive	in addition to having one of the most lovely songs ever written, french cancan also boasts one of the cutest leading ladies ever to grace the screen.
positive	it's hard not to fall head-over-heels in love with that girl.
negative	on the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.
negative	long, whiny and pointless.
negative	but i recommend waiting for their future efforts, let this one go.
positive	excellent cast, story line, performances.
positive	totally believable.
positive	anne heche was utterly convincing.
positive	sam shepard's portrayal of a gung ho marine was sobering.
positive	i sat riveted to the tv screen.
positive	all in all i give this one a resounding 9 out of 10.
positive	i do think tom hanks is a good actor.
positive	i enjoyed reading this book to my children when they were little.
negative	i was very disappointed in the movie.
negative	one character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.
negative	there is a totally unnecessary train/roller coaster scene.
negative	there was absolutely no warmth or charm to these scenes or characters.
negative	this movie totally grates on my nerves.
negative	the performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.
negative	and, quite honestly, often its not very good.
negative	often the dialogue doesn't really follow from one line to another, or fit the surroundings.
negative	it crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.
positive	there are some generally great things in it.
negative	i wouldn't say they're worth 2 hours of your time, though.
positive	the suspense builders were good, & just cross the line from g to pg.
positive	i especially liked the non-cliche choices with the parents; in other movies, i could predict the dialog verbatim, but the writing in this movie made better selections.
positive	if you want a movie that's not gross but gives you some chills, this is a great choice.
positive	alexander nevsky is a great film.
positive	he is an amazing film artist, one of the most important whoever lived.
negative	i'm glad this pretentious piece of s*** didn't do as planned by the dodge stratus big shots... it's gonna help movie makers who aren't in the very restrained movie business"" of quã©bec.",positive
everyone is treated equally special.,positive
nargile - i think you are great.,positive
"hawaiian breeze, mango magic, and pineapple delight are the smoothies that i've tried so far and they're all good.",positive
reversible plug works great.,positive
i am very impressed with this headset from plantronics.,positive
"it felt too light and ""tinny."".",negative
"the writers were ""smack on"" and i think the best actors and actresses were a bonus to the show.these characters were so real.",positive
"unfortunately, it only set us up for disapppointment with our entrees.",negative
not recommended.,negative
it dit not work most of the time with my nokia 5320.,negative
"- really, really good rice, all the time.",positive
"attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.",negative
"the food was delicious, our bartender was attentive and personable and we got a great deal!",positive
"terrible product, and waste of money!",negative
you won't be disappointed.,positive
i kept catching the cable on the seat and i had to pull the phone out to turn it on an off.,negative
vivian schilling did an excellent job with the script.,positive
i am going to have to be the first to negatively review this product.,negative
my girlfriend's veal was very bad.,negative
worst hour and a half of my life!oh my gosh!,negative
i consider this theft.,negative
i'm pleased.,positive
"while i managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",negative
linked to my phone without effort.,positive
what a piece of junk.. i lose more calls on this phone.,negative
"needless to say, we will never be back here again.",negative
no one at the table thought the food was above average or worth the wait that we had for it.,negative
i could not stand to even watch it for very long for fear of losing i.q.,negative
"for a self proclaimed coffee cafe, i was wildly disappointed.",negative
the directing and the cinematography aren't quite as good.,negative
"the calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",negative
"the burger is good beef, cooked just right.",positive
"nice case, feels good in your hands.",positive
i couldn't take them seriously.,negative
if you stay in vegas you must get breakfast here at least once.,positive
"verizon's bills, however, are difficult to understand even though their pricing plans are simple.",negative
"the sound quality for the device is unacceptable.unless you are in a really quiet area, you almost hear nothing.",negative
the macarons here are insanely good.,positive
"when a song could explain the emotions of the subjects better, such as when jay adams' unfortunate life was a subject of talk, the song old man by neil young was played, which evokes many emotions.",positive
i was seated immediately.,positive
"the lines, the cuts, the audio, everything is wrong.",negative
perabo has a nice energy level and is obviously very comfortable in front of a camera.,positive
i purcashed this for the car charger and it does not work.,negative
we recently witnessed her poor quality of management towards other guests as well.,negative
shrimp- when i unwrapped it (i live only 1/2 a mile from brushfire) it was literally ice cold.,negative
